assetId,sourceCategory,runtimeFilename,runtimeBytes,triangleCount,materialCount,textureCount,duplicateStatus,matchedWith
bathroom,bathroom,runtime-assets/bathroom.glb,93012,320,1,1,intentional_variant,
bathroom_001,bathroom,runtime-assets/bathroom_001.glb,90356,246,2,2,intentional_variant,
bathroom_002,bathroom,runtime-assets/bathroom_002.glb,11416,172,2,1,intentional_variant,
bathroom_003,bathroom,runtime-assets/bathroom_003.glb,143396,228,2,3,intentional_variant,
bathroom_004,bathroom,runtime-assets/bathroom_004.glb,140324,150,3,3,intentional_variant,
bathroom_005,bathroom,runtime-assets/bathroom_005.glb,212540,64,2,2,intentional_variant,
bathroom_006,bathroom,runtime-assets/bathroom_006.glb,97944,480,1,1,intentional_variant,
bathroom_007,bathroom,runtime-assets/bathroom_007.glb,107900,544,4,2,metric_near_duplicate_candidate,bathroom_029
bathroom_008,bathroom,runtime-assets/bathroom_008.glb,307252,582,5,4,intentional_variant,
bathroom_009,bathroom,runtime-assets/bathroom_009.glb,220056,130,3,3,intentional_variant,
bathroom_010,bathroom,runtime-assets/bathroom_010.glb,7572,60,2,1,intentional_variant,
bathroom_011,bathroom,runtime-assets/bathroom_011.glb,92108,224,2,2,intentional_variant,
bathroom_012,bathroom,runtime-assets/bathroom_012.glb,99868,370,3,2,intentional_variant,
bathroom_013,bathroom,runtime-assets/bathroom_013.glb,21168,344,1,1,intentional_variant,
bathroom_014,bathroom,runtime-assets/bathroom_014.glb,115620,800,5,2,intentional_variant,
bathroom_015,bathroom,runtime-assets/bathroom_015.glb,47300,992,3,1,intentional_variant,
bathroom_016,bathroom,runtime-assets/bathroom_016.glb,189896,1058,6,4,intentional_variant,
bathroom_017,bathroom,runtime-assets/bathroom_017.glb,102784,450,3,2,intentional_variant,
bathroom_018,bathroom,runtime-assets/bathroom_018.glb,96680,595,5,2,intentional_variant,
bathroom_019,bathroom,runtime-assets/bathroom_019.glb,155344,1659,5,2,intentional_variant,
bathroom_020,bathroom,runtime-assets/bathroom_020.glb,122468,834,5,2,metric_near_duplicate_candidate,bathroom_061
bathroom_021,bathroom,runtime-assets/bathroom_021.glb,548632,1284,5,6,intentional_variant,
bathroom_022,bathroom,runtime-assets/bathroom_022.glb,254928,1298,3,3,metric_near_duplicate_candidate,bathroom_030
bathroom_023,bathroom,runtime-assets/bathroom_023.glb,94240,289,3,2,intentional_variant,
bathroom_024,bathroom,runtime-assets/bathroom_024.glb,13036,217,2,1,intentional_variant,
bathroom_025,bathroom,runtime-assets/bathroom_025.glb,15484,258,2,1,intentional_variant,
bathroom_026,bathroom,runtime-assets/bathroom_026.glb,318472,552,5,4,intentional_variant,
bathroom_027,bathroom,runtime-assets/bathroom_027.glb,221888,180,2,3,intentional_variant,
bathroom_028,bathroom,runtime-assets/bathroom_028.glb,14312,228,1,1,intentional_variant,
bathroom_029,bathroom,runtime-assets/bathroom_029.glb,107900,544,4,2,metric_near_duplicate_candidate,bathroom_007
bathroom_030,bathroom,runtime-assets/bathroom_030.glb,254760,1298,3,3,metric_near_duplicate_candidate,bathroom_022
bathroom_031,bathroom,runtime-assets/bathroom_031.glb,13732,289,1,1,intentional_variant,
bathroom_032,bathroom,runtime-assets/bathroom_032.glb,20956,344,1,1,intentional_variant,
bathroom_033,bathroom,runtime-assets/bathroom_033.glb,105888,642,3,2,intentional_variant,
bathroom_034,bathroom,runtime-assets/bathroom_034.glb,82624,82,1,1,intentional_variant,
bathroom_060,bathroom,runtime-assets/bathroom_060.glb,203452,1298,3,3,intentional_variant,
bathroom_061,bathroom,runtime-assets/bathroom_061.glb,122468,834,5,2,metric_near_duplicate_candidate,bathroom_020
bathroom_062,bathroom,runtime-assets/bathroom_062.glb,152120,64,2,2,intentional_variant,
bed,bed,runtime-assets/bed.glb,95940,756,3,2,intentional_variant,
bed_016,bed,runtime-assets/bed_016.glb,264468,415,4,4,intentional_variant,
bed_017,bed,runtime-assets/bed_017.glb,143472,659,2,3,intentional_variant,
bed_018,bed,runtime-assets/bed_018.glb,531180,1660,4,5,intentional_variant,
bed_019,bed,runtime-assets/bed_019.glb,260456,1356,3,3,intentional_variant,
bed_020,bed,runtime-assets/bed_020.glb,286560,380,3,4,intentional_variant,
bed_021,bed,runtime-assets/bed_021.glb,844376,2098,6,8,intentional_variant,
bed_022,bed,runtime-assets/bed_022.glb,387432,1224,4,5,intentional_variant,
bed_023,bed,runtime-assets/bed_023.glb,103040,1373,3,2,intentional_variant,
bed_024,bed,runtime-assets/bed_024.glb,278704,1317,4,4,intentional_variant,
bed_025,bed,runtime-assets/bed_025.glb,835028,1248,7,8,intentional_variant,
bed_026,bed,runtime-assets/bed_026.glb,414280,882,4,5,intentional_variant,
bed_027,bed,runtime-assets/bed_027.glb,15812,332,1,1,intentional_variant,
bed_028,bed,runtime-assets/bed_028.glb,164584,578,3,4,intentional_variant,
bed_029,bed,runtime-assets/bed_029.glb,449508,808,4,6,intentional_variant,
