assetId,sourceCategory,displayCategory,displayName,thumbnailFilename,thumbnailBytes,thumbnailWidth,thumbnailHeight,thumbnailAreaPct,thumbnailStatus,runtimeFilename,runtimeBytes,triangleCount,primitiveCount,materialCount,textureCount,maxTextureDimension,analyticalDecodedRGBABytes,policyVersion,conversionStatus,runtimePolicyStatus,geometryInvarianceStatus,gltfValidationStatus,prototypeDerivedRole,authoritativeSemanticRole
bathroom,bathroom,Kitchen & Bath,Bathroom,thumbnails/bathroom.webp,1876,256,192,23.49,skipped,runtime-assets/bathroom.glb,93012,320,1,1,1,512,1048576,1,built,PASS,PASS,PASS,floorDecor,
bathroom_001,bathroom,Kitchen & Bath,Bathroom 1,thumbnails/bathroom_001.webp,1134,256,192,43.74,skipped,runtime-assets/bathroom_001.glb,90356,246,2,2,2,512,2097152,1,built,PASS,PASS,PASS,floorDecor,
bathroom_002,bathroom,Kitchen & Bath,Bathroom 2,thumbnails/bathroom_002.webp,1372,256,192,21.54,skipped,runtime-assets/bathroom_002.glb,11416,172,2,2,1,512,1048576,1,built,PASS,PASS,PASS,floorDecor,
bathroom_003,bathroom,Kitchen & Bath,Bathroom 3,thumbnails/bathroom_003.webp,838,256,192,7.98,skipped,runtime-assets/bathroom_003.glb,143396,228,2,2,3,512,3145728,1,built,PASS,PASS,PASS,floorDecor,
bathroom_004,bathroom,Kitchen & Bath,Bathroom 4,thumbnails/bathroom_004.webp,1008,256,192,32.88,skipped,runtime-assets/bathroom_004.glb,140324,150,3,3,3,512,3145728,1,built,PASS,PASS,PASS,floorDecor,
bathroom_005,bathroom,Kitchen & Bath,Bathroom 5,thumbnails/bathroom_005.webp,1108,256,192,28.43,skipped,runtime-assets/bathroom_005.glb,212540,64,2,2,2,512,2097152,1,built,PASS,PASS,PASS,floorDecor,
bathroom_006,bathroom,Kitchen & Bath,Bathroom 6,thumbnails/bathroom_006.webp,1882,256,192,28.11,skipped,runtime-assets/bathroom_006.glb,97944,480,1,1,1,512,1048576,1,built,PASS,PASS,PASS,floorDecor,
bathroom_007,bathroom,Kitchen & Bath,Bathroom 7,thumbnails/bathroom_007.webp,1172,256,192,25.63,skipped,runtime-assets/bathroom_007.glb,107900,544,4,4,2,512,2097152,1,built,PASS,PASS,PASS,floorDecor,
bathroom_008,bathroom,Kitchen & Bath,Bathroom 8,thumbnails/bathroom_008.webp,2306,256,192,43.89,skipped,runtime-assets/bathroom_008.glb,307252,582,5,5,4,512,4194304,1,built,PASS,PASS,PASS,floorDecor,
bathroom_009,bathroom,Kitchen & Bath,Bathroom 9,thumbnails/bathroom_009.webp,1332,256,192,41.89,skipped,runtime-assets/bathroom_009.glb,220056,130,3,3,3,512,3145728,1,built,PASS,PASS,PASS,floorDecor,
bathroom_010,bathroom,Kitchen & Bath,Bathroom 10,thumbnails/bathroom_010.webp,1086,256,192,10.47,skipped,runtime-assets/bathroom_010.glb,7572,60,2,2,1,512,1048576,1,built,PASS,PASS,PASS,floorDecor,
bathroom_011,bathroom,Kitchen & Bath,Bathroom 11,thumbnails/bathroom_011.webp,1190,256,192,26.83,skipped,runtime-assets/bathroom_011.glb,92108,224,2,2,2,512,2097152,1,built,PASS,PASS,PASS,floorDecor,
bathroom_012,bathroom,Kitchen & Bath,Bathroom 12,thumbnails/bathroom_012.webp,1652,256,192,30.44,skipped,runtime-assets/bathroom_012.glb,99868,370,3,3,2,512,2097152,1,built,PASS,PASS,PASS,floorDecor,
bathroom_013,bathroom,Kitchen & Bath,Bathroom 13,thumbnails/bathroom_013.webp,1040,256,192,30.26,skipped,runtime-assets/bathroom_013.glb,21168,344,1,1,1,512,1048576,1,built,PASS,PASS,PASS,floorDecor,
bathroom_014,bathroom,Kitchen & Bath,Bathroom 14,thumbnails/bathroom_014.webp,1076,256,192,19.47,skipped,runtime-assets/bathroom_014.glb,115620,800,5,5,2,512,2097152,1,built,PASS,PASS,PASS,floorDecor,
bathroom_015,bathroom,Kitchen & Bath,Bathroom 15,thumbnails/bathroom_015.webp,2370,256,192,39.94,skipped,runtime-assets/bathroom_015.glb,47300,992,3,3,1,512,1048576,1,built,PASS,PASS,PASS,floorDecor,
bathroom_016,bathroom,Kitchen & Bath,Bathroom 16,thumbnails/bathroom_016.webp,1042,256,192,13.68,skipped,runtime-assets/bathroom_016.glb,189896,1058,6,6,4,512,4194304,1,built,PASS,PASS,PASS,floorDecor,
bathroom_017,bathroom,Kitchen & Bath,Bathroom 17,thumbnails/bathroom_017.webp,1366,256,192,34.03,skipped,runtime-assets/bathroom_017.glb,102784,450,3,3,2,512,2097152,1,built,PASS,PASS,PASS,floorDecor,
bathroom_018,bathroom,Kitchen & Bath,Bathroom 18,thumbnails/bathroom_018.webp,2034,256,192,36.73,skipped,runtime-assets/bathroom_018.glb,96680,595,5,5,2,512,2097152,1,built,PASS,PASS,PASS,floorDecor,
bathroom_019,bathroom,Kitchen & Bath,Bathroom 19,thumbnails/bathroom_019.webp,1428,256,192,45.94,skipped,runtime-assets/bathroom_019.glb,155344,1659,5,5,2,512,2097152,1,built,PASS,PASS,PASS,floorDecor,
bathroom_020,bathroom,Kitchen & Bath,Bathroom 20,thumbnails/bathroom_020.webp,1650,256,192,23.31,skipped,runtime-assets/bathroom_020.glb,122468,834,5,5,2,512,2097152,1,built,PASS,PASS,PASS,floorDecor,
bathroom_021,bathroom,Kitchen & Bath,Bathroom 21,thumbnails/bathroom_021.webp,1468,256,192,40.82,skipped,runtime-assets/bathroom_021.glb,548632,1284,5,5,6,512,6291456,1,built,PASS,PASS,PASS,floorDecor,
bathroom_022,bathroom,Kitchen & Bath,Bathroom 22,thumbnails/bathroom_022.webp,2480,256,192,46.55,skipped,runtime-assets/bathroom_022.glb,254928,1298,3,3,3,512,3145728,1,built,PASS,PASS,PASS,floorDecor,
bathroom_023,bathroom,Kitchen & Bath,Bathroom 23,thumbnails/bathroom_023.webp,996,256,192,22.99,skipped,runtime-assets/bathroom_023.glb,94240,289,3,3,2,512,2097152,1,built,PASS,PASS,PASS,floorDecor,
bathroom_024,bathroom,Kitchen & Bath,Bathroom 24,thumbnails/bathroom_024.webp,1000,256,192,25.84,skipped,runtime-assets/bathroom_024.glb,13036,217,2,2,1,512,1048576,1,built,PASS,PASS,PASS,floorDecor,
bathroom_025,bathroom,Kitchen & Bath,Bathroom 25,thumbnails/bathroom_025.webp,2374,256,192,47.62,skipped,runtime-assets/bathroom_025.glb,15484,258,2,2,1,512,1048576,1,built,PASS,PASS,PASS,floorDecor,
bathroom_026,bathroom,Kitchen & Bath,Bathroom 26,thumbnails/bathroom_026.webp,1368,256,192,32.24,skipped,runtime-assets/bathroom_026.glb,318472,552,5,5,4,512,4194304,1,built,PASS,PASS,PASS,floorDecor,
bathroom_027,bathroom,Kitchen & Bath,Bathroom 27,thumbnails/bathroom_027.webp,1050,256,192,18.12,skipped,runtime-assets/bathroom_027.glb,221888,180,2,2,3,512,3145728,1,built,PASS,PASS,PASS,floorDecor,
bathroom_028,bathroom,Kitchen & Bath,Bathroom 28,thumbnails/bathroom_028.webp,1406,256,192,18,skipped,runtime-assets/bathroom_028.glb,14312,228,1,1,1,512,1048576,1,built,PASS,PASS,PASS,floorDecor,
