assetId,sourceCategory,displayCategory,displayName,thumbnailFilename,runtimeFilename,runtimeBytes,triangleCount,materialCount,textureCount,maxTextureDimension,runtimePolicyStatus
prop_147,prop,Decor,Prop 147,thumbnails/prop_147.webp,runtime-assets/prop_147.glb,3536,4,1,1,512,PASS
prop_148,prop,Decor,Prop 148,thumbnails/prop_148.webp,runtime-assets/prop_148.glb,3820,8,1,1,512,PASS
ladder_001,ladder,Decor,Ladder 1,thumbnails/ladder_001.webp,runtime-assets/ladder_001.glb,4040,12,1,1,512,PASS
ladder_003,ladder,Decor,Ladder 3,thumbnails/ladder_003.webp,runtime-assets/ladder_003.glb,4040,12,1,1,512,PASS
ladder_018,ladder,Decor,Ladder 18,thumbnails/ladder_018.webp,runtime-assets/ladder_018.glb,4976,28,1,1,512,PASS
prop_155,prop,Decor,Prop 155,thumbnails/prop_155.webp,runtime-assets/prop_155.glb,6020,100,1,1,512,PASS
ladder_009,ladder,Decor,Ladder 9,thumbnails/ladder_009.webp,runtime-assets/ladder_009.glb,6284,44,1,1,512,PASS
shelf_078,shelf,Storage,Shelf 78,thumbnails/shelf_078.webp,runtime-assets/shelf_078.glb,6316,92,1,1,512,PASS
prop_166,prop,Decor,Prop 166,thumbnails/prop_166.webp,runtime-assets/prop_166.glb,6452,108,1,1,512,PASS
electronics,electronics,Decor,Electronics,thumbnails/electronics.webp,runtime-assets/electronics.glb,6892,60,2,1,512,PASS
cupboard_018,cupboard,Storage,Cupboard 18,thumbnails/cupboard_018.webp,runtime-assets/cupboard_018.glb,7024,60,1,1,512,PASS
cupboard_023,cupboard,Storage,Cupboard 23,thumbnails/cupboard_023.webp,runtime-assets/cupboard_023.glb,7024,60,1,1,512,PASS
curtain_003,curtain,Decor,Curtain 3,thumbnails/curtain_003.webp,runtime-assets/curtain_003.glb,7068,132,1,1,512,PASS
curtain_004,curtain,Decor,Curtain 4,thumbnails/curtain_004.webp,runtime-assets/curtain_004.glb,7068,132,1,1,512,PASS
curtain_007,curtain,Decor,Curtain 7,thumbnails/curtain_007.webp,runtime-assets/curtain_007.glb,7068,132,1,1,512,PASS
curtain_035,curtain,Decor,Curtain 35,thumbnails/curtain_035.webp,runtime-assets/curtain_035.glb,7068,132,1,1,512,PASS
curtain_049,curtain,Decor,Curtain 49,thumbnails/curtain_049.webp,runtime-assets/curtain_049.glb,7068,132,1,1,512,PASS
curtain_050,curtain,Decor,Curtain 50,thumbnails/curtain_050.webp,runtime-assets/curtain_050.glb,7068,132,1,1,512,PASS
training_001,training,Decor,Training 1,thumbnails/training_001.webp,runtime-assets/training_001.glb,7100,80,1,1,512,PASS
sofa_031,sofa,Seating,Sofa 31,thumbnails/sofa_031.webp,runtime-assets/sofa_031.glb,7592,120,1,1,512,PASS
work_table_017,work,Tables,Work Table 17,thumbnails/work_table_017.webp,runtime-assets/work_table_017.glb,7600,78,1,1,512,PASS
picture,picture,Decor,Picture,thumbnails/picture.webp,runtime-assets/picture.glb,7624,28,2,2,512,PASS
chair_007,chair,Seating,Chair 7,thumbnails/chair_007.webp,runtime-assets/chair_007.glb,7744,106,1,1,512,PASS
chair_006,chair,Seating,Chair 6,thumbnails/chair_006.webp,runtime-assets/chair_006.glb,7748,106,1,1,512,PASS
picture_070,picture,Decor,Picture 70,thumbnails/picture_070.webp,runtime-assets/picture_070.glb,7944,28,2,2,512,PASS
ladder_006,ladder,Decor,Ladder 6,thumbnails/ladder_006.webp,runtime-assets/ladder_006.glb,7968,68,1,1,512,PASS
work_table_018,work,Tables,Work Table 18,thumbnails/work_table_018.webp,runtime-assets/work_table_018.glb,7984,78,1,1,512,PASS
chair_001,chair,Seating,Chair 1,thumbnails/chair_001.webp,runtime-assets/chair_001.glb,8000,142,1,1,512,PASS
dresser_026,dresser,Storage,Dresser 26,thumbnails/dresser_026.webp,runtime-assets/dresser_026.glb,8040,128,1,1,512,PASS
dresser_027,dresser,Storage,Dresser 27,thumbnails/dresser_027.webp,runtime-assets/dresser_027.glb,8040,128,1,1,512,PASS
dresser_028,dresser,Storage,Dresser 28,thumbnails/dresser_028.webp,runtime-assets/dresser_028.glb,8040,128,1,1,512,PASS
prop_164,prop,Decor,Prop 164,thumbnails/prop_164.webp,runtime-assets/prop_164.glb,8132,164,1,1,512,PASS
chair_005,chair,Seating,Chair 5,thumbnails/chair_005.webp,runtime-assets/chair_005.glb,8308,130,1,1,512,PASS
chair_004,chair,Seating,Chair 4,thumbnails/chair_004.webp,runtime-assets/chair_004.glb,8312,130,1,1,512,PASS
dresser_006,dresser,Storage,Dresser 6,thumbnails/dresser_006.webp,runtime-assets/dresser_006.glb,8328,128,1,1,512,PASS
shelf_068,shelf,Storage,Shelf 68,thumbnails/shelf_068.webp,runtime-assets/shelf_068.glb,8328,128,1,1,512,PASS
prop_094,prop,Decor,Prop 94,thumbnails/prop_094.webp,runtime-assets/prop_094.glb,8356,164,1,1,512,PASS
prop_170,prop,Decor,Prop 170,thumbnails/prop_170.webp,runtime-assets/prop_170.glb,8432,164,1,1,512,PASS
picture_073,picture,Decor,Picture 73,thumbnails/picture_073.webp,runtime-assets/picture_073.glb,8444,28,2,2,512,PASS
chair_003,chair,Seating,Chair 3,thumbnails/chair_003.webp,runtime-assets/chair_003.glb,8472,136,1,1,512,PASS
shelf_074,shelf,Storage,Shelf 74,thumbnails/shelf_074.webp,runtime-assets/shelf_074.glb,8648,96,1,1,512,PASS
picture_085,picture,Decor,Picture 85,thumbnails/picture_085.webp,runtime-assets/picture_085.glb,8780,28,2,2,512,PASS
prop_159,prop,Decor,Prop 159,thumbnails/prop_159.webp,runtime-assets/prop_159.glb,8792,172,1,1,512,PASS
prop_090,prop,Decor,Prop 90,thumbnails/prop_090.webp,runtime-assets/prop_090.glb,8820,132,1,1,512,PASS
picture_087,picture,Decor,Picture 87,thumbnails/picture_087.webp,runtime-assets/picture_087.glb,8976,28,2,2,512,PASS
chair_002,chair,Seating,Chair 2,thumbnails/chair_002.webp,runtime-assets/chair_002.glb,9000,160,1,1,512,PASS
prop_139,prop,Decor,Prop 139,thumbnails/prop_139.webp,runtime-assets/prop_139.glb,9012,142,1,1,512,PASS
picture_066,picture,Decor,Picture 66,thumbnails/picture_066.webp,runtime-assets/picture_066.glb,9180,28,2,2,512,PASS
prop_109,prop,Decor,Prop 109,thumbnails/prop_109.webp,runtime-assets/prop_109.glb,9228,116,2,1,512,PASS
prop_110,prop,Decor,Prop 110,thumbnails/prop_110.webp,runtime-assets/prop_110.glb,9228,116,2,1,512,PASS
work_table_014,work,Tables,Work Table 14,thumbnails/work_table_014.webp,runtime-assets/work_table_014.glb,9228,104,1,1,512,PASS
work_table_016,work,Tables,Work Table 16,thumbnails/work_table_016.webp,runtime-assets/work_table_016.glb,9228,104,1,1,512,PASS
prop_156,prop,Decor,Prop 156,thumbnails/prop_156.webp,runtime-assets/prop_156.glb,9292,107,2,1,512,PASS
electronics_049,electronics,Decor,Electronics 49,thumbnails/electronics_049.webp,runtime-assets/electronics_049.glb,9352,116,2,1,512,PASS
coffee_table_028,coffee,Tables,Coffee Table 28,thumbnails/coffee_table_028.webp,runtime-assets/coffee_table_028.glb,9356,106,1,1,512,PASS
ladder_002,ladder,Decor,Ladder 2,thumbnails/ladder_002.webp,runtime-assets/ladder_002.glb,9508,90,1,1,512,PASS
prop_158,prop,Decor,Prop 158,thumbnails/prop_158.webp,runtime-assets/prop_158.glb,9676,148,2,1,512,PASS
picture_069,picture,Decor,Picture 69,thumbnails/picture_069.webp,runtime-assets/picture_069.glb,9712,28,2,2,512,PASS
prop_107,prop,Decor,Prop 107,thumbnails/prop_107.webp,runtime-assets/prop_107.glb,9720,156,2,1,512,PASS
prop_106,prop,Decor,Prop 106,thumbnails/prop_106.webp,runtime-assets/prop_106.glb,9724,156,2,1,512,PASS
carpet_005,carpet,Decor,Carpet 5,thumbnails/carpet_005.webp,runtime-assets/carpet_005.glb,9752,189,1,1,512,PASS
carpet_020,carpet,Decor,Carpet 20,thumbnails/carpet_020.webp,runtime-assets/carpet_020.glb,9752,189,1,1,512,PASS
carpet_053,carpet,Decor,Carpet 53,thumbnails/carpet_053.webp,runtime-assets/carpet_053.glb,9752,189,1,1,512,PASS
carpet_062,carpet,Decor,Carpet 62,thumbnails/carpet_062.webp,runtime-assets/carpet_062.glb,9752,189,1,1,512,PASS
carpet_039,carpet,Decor,Carpet 39,thumbnails/carpet_039.webp,runtime-assets/carpet_039.glb,9756,189,1,1,512,PASS
carpet_067,carpet,Decor,Carpet 67,thumbnails/carpet_067.webp,runtime-assets/carpet_067.glb,9756,189,1,1,512,PASS
prop_098,prop,Decor,Prop 98,thumbnails/prop_098.webp,runtime-assets/prop_098.glb,9796,148,1,1,512,PASS
prop_092,prop,Decor,Prop 92,thumbnails/prop_092.webp,runtime-assets/prop_092.glb,9984,128,2,1,512,PASS
prop_161,prop,Decor,Prop 161,thumbnails/prop_161.webp,runtime-assets/prop_161.glb,10036,123,2,1,512,PASS
picture_071,picture,Decor,Picture 71,thumbnails/picture_071.webp,runtime-assets/picture_071.glb,10212,30,2,2,512,PASS
training_010,training,Decor,Training 10,thumbnails/training_010.webp,runtime-assets/training_010.glb,10344,164,2,1,512,PASS
chair_010,chair,Seating,Chair 10,thumbnails/chair_010.webp,runtime-assets/chair_010.glb,10788,258,1,1,512,PASS
chair_049,chair,Seating,Chair 49,thumbnails/chair_049.webp,runtime-assets/chair_049.glb,10788,258,1,1,512,PASS
picture_072,picture,Decor,Picture 72,thumbnails/picture_072.webp,runtime-assets/picture_072.glb,10852,28,2,2,512,PASS
picture_080,picture,Decor,Picture 80,thumbnails/picture_080.webp,runtime-assets/picture_080.glb,10868,30,2,2,512,PASS
ladder_005,ladder,Decor,Ladder 5,thumbnails/ladder_005.webp,runtime-assets/ladder_005.glb,10908,110,1,1,512,PASS
prop_150,prop,Decor,Prop 150,thumbnails/prop_150.webp,runtime-assets/prop_150.glb,11084,159,2,1,512,PASS
prop_162,prop,Decor,Prop 162,thumbnails/prop_162.webp,runtime-assets/prop_162.glb,11232,162,2,1,512,PASS
prop_165,prop,Decor,Prop 165,thumbnails/prop_165.webp,runtime-assets/prop_165.glb,11232,162,2,1,512,PASS
prop_174,prop,Decor,Prop 174,thumbnails/prop_174.webp,runtime-assets/prop_174.glb,11232,162,2,1,512,PASS
prop_177,prop,Decor,Prop 177,thumbnails/prop_177.webp,runtime-assets/prop_177.glb,11232,162,2,1,512,PASS
prop_157,prop,Decor,Prop 157,thumbnails/prop_157.webp,runtime-assets/prop_157.glb,11304,143,3,1,512,PASS
prop_184,prop,Decor,Prop 184,thumbnails/prop_184.webp,runtime-assets/prop_184.glb,11340,154,2,1,512,PASS
prop_111,prop,Decor,Prop 111,thumbnails/prop_111.webp,runtime-assets/prop_111.glb,11428,156,3,1,512,PASS
prop_187,prop,Decor,Prop 187,thumbnails/prop_187.webp,runtime-assets/prop_187.glb,11564,212,1,1,512,PASS
prop_179,prop,Decor,Prop 179,thumbnails/prop_179.webp,runtime-assets/prop_179.glb,11612,162,2,1,512,PASS
prop_176,prop,Decor,Prop 176,thumbnails/prop_176.webp,runtime-assets/prop_176.glb,11616,162,2,1,512,PASS
